,만나이,성별,소속대학 (예: 예술대학),AI 사용시간 증가비,24년 2학기 GPA 평점,"본인의 주 평균 공부 시간 (중간, 기말, 과제 포함)",AI 평균 사용시간,주 사용 요일,생성형 AI를 사용하는 이유,여타 사이트
32,23,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,6시간 ~ 9시간,"토요일, 일요일",편리해서,어도비
33,만 19,여자,DUMMY,매우 줄었다,DUMMY,3시간 ~ 6시간,0 ~ 30분 미만,화요일,내 아이디어 정리하게,Quizlet
34,21,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",구글 검색으로 찾기 어려운 걸 주로 찾기 때문에,YouTube
35,21,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",질문 답변,유튜브
36,24,남자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"토요일, 일요일",개념 이해,X
37,만 20,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,0 ~ 30분 미만,"월요일, 수요일, 목요일","교양으로 생명과학2를 들었는데 국제어수업이라 용어가 영어로 되어있어 한국어로 번역했을 때의 의미를 알고싶었다. 그리고 스피치와 토론, 영어발표 수업에서 자료 조사나 번역을 하는데 사용했다","어도비, canva, 미리캔버스"
38,24,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"화요일, 수요일","논문 등을 찾는데 유용하며, 내 아이디어가 적절히 작동할 수 있는지 확인 가능.",유튜브
39,만 23,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"수요일, 토요일, 일요일","과제 풀이, 레포트 작성",유튜브
40,19,여자,DUMMY,조금 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"토요일, 일요일","아이디어 얻기, 정보 확인, 자료 조사",유튜브 구글
41,21,여자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,30분 ~ 1시간,"토요일, 일요일",효율적인 과제 수행,미리캔버스
42,24,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",이해와 추론,없습니다
43,20,여자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,30분 ~ 1시간,"토요일, 일요일",수업요약,유튜브
44,23,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"토요일, 일요일",내의견을 잘 다듬기 위해서 사용했습니당,"미리캔버스, 유튜브 등등"
45,20,여자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",관련 법령 검색 및 법적 어휘 정의 검색,인스타
46,19,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,1시간 ~ 3시간,"토요일, 일요일",요약 등의 과제는 나보다 생성형 AI가 더 나아서,"미리캔버스, 어도비, 유튜브"
47,20,여자,DUMMY,조금 늘었다,DUMMY,1시간 ~ 3시간,1시간 ~ 3시간,"토요일, 일요일",에세이를 쓸 때 글의 개요를 정리하기 위해,미리캔버스
48,20,여자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,3시간 ~ 6시간,"월요일, 토요일, 일요일","과제 시간 단축, 원하는 정보를 검색으로 한 번에 얻기 어려울 때 특히 유용함","유튜브, 캔바(canva)"
49,만 20,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,"월요일, 화요일, 목요일, 금요일","과제 해결 (특히 코딩), 수업 복습용","뤼튼, 노션"
50,21,여자,DUMMY,변화 없다,DUMMY,3시간 ~ 6시간,0 ~ 30분 미만,"토요일, 일요일",봐야 할 내용이 많은데 요약이 필요할 때!,미리캔버스(ppt 제작 목적)
51,만 21,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,금요일,"미처 생각하지 못한 답을 얻을 수 있고, 과제에 드는 시간에 훨씬 줄어든디. 특히 자료검색에 용이한듯!",미리캔버스
52,21,여자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일",시간 단축 및 사용자보다 똑똑함,미리캔버스
53,만 21,여자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,"수요일, 토요일",과제에 사용할 이미지 생성을 위해서/글 쓰다가 문장이 생각나지 않을 때 참고하기 위해서,어도비
54,22,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,6시간 ~ 9시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일","공대 복수전공을 하고 있는데 교수님, 교재의 설명에서 생략된 기반지식을 예대생도 이해할 수 있게 쉽게 설명해주어서 gpt를 학습멘토처럼 사용하고있습니다.","유튜브에는 세계 각국의 교수님이나 대학원생들이 전공과목 관련 강의 영상을 업로드 하는 곳이라 교수님의 아이캠퍼스, 오프라인 수업의 설명이 충분하지 못했다고 생각이 들 때 유용하게 사용하고있습니다."
55,만 20,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"금요일, 토요일",과제 흐름에 도움을 받기 위해서,미리캔버스
56,22,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",학업과 연관해서 도움이 돼서,따로 없다
57,만 20,남자,DUMMY,매우 늘었다,DUMMY,0 ~ 30분 미만,30분 ~ 1시간,월요일,과제 제출에 편함,없습니다
58,19,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,금요일,모르는 내용을 질문하거나 자료 조사에 사용했습니다.,유튜브
59,21,여자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",쉬워서,미리캔버스
60,만 21,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,"토요일, 일요일",전반적으로 많은 도움을 받을 수 있어서. 특히 자료조사 부분에서 많은 도움을 받을 수 있다,미리캔버스
61,만 20,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,월요일,과제 할 시간이 부족해서. 좀 귀찮기도 하고.. 내가 하는 것보다 좋은 퀄리티가 나올 것 같아서,어도비 
62,20,남자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",내가 만든 결과물보다 훨씬 더 논리적이며 완성도 높기 때문에,"미리캔버스, 유튜브"
63,만 20,여자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",모르는 개념이나 문제 질문을 위해,유튜브
64,21,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",과제 부스터,없음더
65,22,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",코딩 과제나 평소에 궁금하거나 몰랐던 용어들에 대해서 간단하게 찾아보는 용도,유튜브
66,22,남자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"화요일, 금요일, 토요일",더 높은 수준의 이해를 위해서,없음
67,만 21,여자,DUMMY,변화 없다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,월요일,시간 단축을 위해서,유튜브
68,21,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"월요일, 화요일, 수요일, 목요일, 금요일",자료 검색 시간 단축 및 불필요한 노동량 감소,"미리캔버스, 유튜브 등"
69,22,남자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,30분 ~ 1시간,"토요일, 일요일",자료 검색 및 요약 ,없음
70,24,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,9시간 이상,"월요일, 화요일, 수요일, 목요일, 금요일","추론 및 이해, 검증",구글링
71,24,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,토요일,편리해서,X
72,21,여자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"월요일, 수요일, 토요일, 일요일",지피티는 내친구,미리캔버스 유튜브
73,22,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",공부할때 노트 정리,X
74,25,남자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",쉽고 빨라서,X
75,24,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",아이디어 얻기 위해서,"어도비, 유튜브"
76,25,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",아이디어 얻기 좋아서,유튜브
77,23,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",코딩을 위해 사용,없어요
78,22,여자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"목요일, 금요일, 토요일, 일요일",코딩을 위해,X
79,25,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,6시간 ~ 9시간,"금요일, 토요일, 일요일",데이터 정리를 위해,X
80,22,여자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,3시간 ~ 6시간,"월요일, 화요일, 수요일, 목요일, 금요일",검색해서 정보를 수집하는데에 시간이 오래 걸려서 시간 절약할 수 있는 방법으로 사용하는 경우가 대다수인 것 같습니다. ,"미리캔버스, 유튜브, LinkedIn, X "
81,22,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,3시간 ~ 6시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",과제해결&아이디어를 얻기 위해 ,"미리캔버스, 어도비, 유튜브, 챗지피티, 리튼, 망고보드 등 "
82,20,남자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"월요일, 화요일, 목요일, 토요일, 일요일",과제 더 빠르게 완료하기,없음
83,22,여자,DUMMY,조금 늘었다,DUMMY,1시간 ~ 3시간,1시간 ~ 3시간,화요일,편리하고 빨라서,유튜브
84,만 23,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,0 ~ 30분 미만,월요일,퀴즈대비를 위해 정보 검색,유튜브
85,21,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"월요일, 토요일",생각 못한 아이디어를 얻을 수 있어서,canva
86,만 20,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"토요일, 일요일",문맥을 매끄럽게 수정하는데 사용되는 시간을 줄여주고 과제의 개요를 짜는 데 도움을 받기 위해서,미리캔버스
87,24,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,6시간 ~ 9시간,"금요일, 토요일, 일요일",편리해서,유튜브
88,22,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,6시간 ~ 9시간,"금요일, 토요일, 일요일",정리를 잘 해줌,유튜브
89,26,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"목요일, 금요일, 토요일, 일요일",이해하기 쉽게 정리해줘요,없어요
90,22,여자,DUMMY,변화 없다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"토요일, 일요일","글로벌 강의 번역, 교안 내용요약, 말동무",어도비
